Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start DateAscending,Test Match
116,283,191,9,1,60.73,4,caught,2,v Australia,Melbourne,26 Dec 1999,Test # 1479
52,162,122,4,0,42.62,4,lbw,4,v Australia,Melbourne,26 Dec 1999,Test # 1479
45,82,53,8,0,84.90,4,lbw,1,v Australia,Sydney,2 Jan 2000,Test # 1481
4,6,4,1,0,100.00,4,caught,3,v Australia,Sydney,2 Jan 2000,Test # 1481
97,208,163,12,2,59.50,4,caught,1,v South Africa,Mumbai,24 Feb 2000,Test # 1484
8,20,11,2,0,72.72,4,lbw,3,v South Africa,Mumbai,24 Feb 2000,Test # 1484
21,120,76,3,0,27.63,4,caught,1,v South Africa,Bangalore,2 Mar 2000,Test # 1486
20,76,53,2,0,37.73,4,caught,3,v South Africa,Bangalore,2 Mar 2000,Test # 1486
18,63,41,1,0,43.90,5,caught,2,v Bangladesh,Dhaka,10 Nov 2000,Test # 1512
DNB,-,-,-,-,-,-,-,4,v Bangladesh,Dhaka,10 Nov 2000,Test # 1512
122,283,233,19,0,52.36,4,caught,2,v Zimbabwe,Delhi,18 Nov 2000,Test # 1515
39,45,39,8,0,100.00,4,caught,4,v Zimbabwe,Delhi,18 Nov 2000,Test # 1515
201,392,281,27,0,71.53,4,not out,1,v Zimbabwe,Nagpur,25 Nov 2000,Test # 1517
76,138,114,13,0,66.66,4,caught,1,v Australia,Mumbai,27 Feb 2001,Test # 1531
65,153,107,11,0,60.74,5,caught,3,v Australia,Mumbai,27 Feb 2001,Test # 1531
10,25,18,2,0,55.55,4,lbw,2,v Australia,Kolkata,11 Mar 2001,Test # 1535
10,26,23,2,0,43.47,4,caught,3,v Australia,Kolkata,11 Mar 2001,Test # 1535
126,346,230,15,2,54.78,4,caught,2,v Australia,Chennai,18 Mar 2001,Test # 1539
17,27,17,3,0,100.00,4,caught,4,v Australia,Chennai,18 Mar 2001,Test # 1539
74,179,128,12,0,57.81,4,caught,2,v Zimbabwe,Bulawayo,7 Jun 2001,Test # 1548
36,41,49,4,0,73.46,4,not out,4,v Zimbabwe,Bulawayo,7 Jun 2001,Test # 1548
20,78,46,2,1,43.47,4,bowled,1,v Zimbabwe,Harare,15 Jun 2001,Test # 1549
69,185,135,9,0,51.11,4,caught,3,v Zimbabwe,Harare,15 Jun 2001,Test # 1549
155,233,184,23,1,84.23,4,caught,1,v South Africa,Bloemfontein,3 Nov 2001,Test # 1564
15,60,35,2,0,42.85,4,caught,3,v South Africa,Bloemfontein,3 Nov 2001,Test # 1564
1,10,4,0,0,25.00,4,caught,2,v South Africa,Port Elizabeth,16 Nov 2001,Test # 1569
22,54,45,4,0,48.88,4,not out,4,v South Africa,Port Elizabeth,16 Nov 2001,Test # 1569
88,229,144,13,0,61.11,5,caught,2,v England,Mohali,3 Dec 2001,Test # 1574
DNB,-,-,-,-,-,-,-,4,v England,Mohali,3 Dec 2001,Test # 1574
103,254,197,12,1,52.28,4,caught,2,v England,Ahmedabad,11 Dec 2001,Test # 1575
26,87,81,4,0,32.09,4,caught,4,v England,Ahmedabad,11 Dec 2001,Test # 1575
90,263,198,13,0,45.45,4,stumped,2,v England,Bangalore,19 Dec 2001,Test # 1578
176,440,316,23,0,55.69,4,caught,2,v Zimbabwe,Nagpur,21 Feb 2002,Test # 1589
36,124,119,5,0,30.25,4,lbw,2,v Zimbabwe,Delhi,28 Feb 2002,Test # 1591
42,78,52,7,1,80.76,5,lbw,4,v Zimbabwe,Delhi,28 Feb 2002,Test # 1591
79,191,136,13,0,58.08,4,lbw,2,v West Indies,Georgetown,11 Apr 2002,Test # 1598
117,356,260,14,0,45.00,4,lbw,1,v West Indies,Port of Spain,19 Apr 2002,Test # 1599
0,16,4,0,0,0.00,4,lbw,3,v West Indies,Port of Spain,19 Apr 2002,Test # 1599
0,4,2,0,0,0.00,4,caught,1,v West Indies,Bridgetown,2 May 2002,Test # 1601
8,32,17,1,0,47.05,4,lbw,3,v West Indies,Bridgetown,2 May 2002,Test # 1601
0,2,1,0,0,0.00,4,caught,1,v West Indies,St John's,10 May 2002,Test # 1602
41,94,63,7,0,65.07,4,bowled,2,v West Indies,Kingston,18 May 2002,Test # 1604
86,162,139,13,0,61.87,4,bowled,4,v West Indies,Kingston,18 May 2002,Test # 1604
16,94,61,2,0,26.22,5,caught,2,v England,Lord's,25 Jul 2002,Test # 1610
12,51,35,2,0,34.28,4,bowled,4,v England,Lord's,25 Jul 2002,Test # 1610
34,90,68,6,0,50.00,4,bowled,1,v England,Nottingham,8 Aug 2002,Test # 1612
92,160,113,17,0,81.41,4,bowled,3,v England,Nottingham,8 Aug 2002,Test # 1612
193,434,330,19,3,58.48,4,lbw,1,v England,Leeds,22 Aug 2002,Test # 1613
54,114,89,10,0,60.67,4,lbw,2,v England,The Oval,5 Sep 2002,Test # 1614
35,96,88,5,0,39.77,4,caught,1,v West Indies,Mumbai,9 Oct 2002,Test # 1616
43,156,113,5,0,38.05,4,bowled,2,v West Indies,Chennai,17 Oct 2002,Test # 1618
16,15,20,0,0,80.00,4,not out,4,v West Indies,Chennai,17 Oct 2002,Test # 1618
36,85,65,7,0,55.38,4,caught,1,v West Indies,Kolkata,30 Oct 2002,Test # 1622
176,419,298,26,0,59.06,4,caught,3,v West Indies,Kolkata,30 Oct 2002,Test # 1622
8,47,26,2,0,30.76,4,lbw,1,v New Zealand,Wellington,12 Dec 2002,Test # 1631
51,120,74,7,0,68.91,4,bowled,3,v New Zealand,Wellington,12 Dec 2002,Test # 1631
9,40,31,1,0,29.03,4,caught,1,v New Zealand,Hamilton,19 Dec 2002,Test # 1633
32,55,48,5,0,66.66,4,bowled,3,v New Zealand,Hamilton,19 Dec 2002,Test # 1633
8,54,38,1,0,21.05,4,caught,1,v New Zealand,Ahmedabad,8 Oct 2003,Test # 1660
7,19,15,0,0,46.66,4,caught,3,v New Zealand,Ahmedabad,8 Oct 2003,Test # 1660
55,238,175,6,0,31.42,4,caught,2,v New Zealand,Mohali,16 Oct 2003,Test # 1662
1,15,10,0,0,10.00,4,bowled,3,v New Zealand,Mohali,16 Oct 2003,Test # 1662
0,3,3,0,0,0.00,4,lbw,2,v Australia,Brisbane,4 Dec 2003,Test # 1671
DNB,-,-,-,-,-,-,-,4,v Australia,Brisbane,4 Dec 2003,Test # 1671
1,15,6,0,0,16.66,4,caught,2,v Australia,Adelaide,12 Dec 2003,Test # 1673
37,79,59,5,0,62.71,4,lbw,4,v Australia,Adelaide,12 Dec 2003,Test # 1673
0,3,1,0,0,0.00,4,caught,1,v Australia,Melbourne,26 Dec 2003,Test # 1678
44,107,79,5,0,55.69,5,caught,3,v Australia,Melbourne,26 Dec 2003,Test # 1678
241,613,436,33,0,55.27,4,not out,1,v Australia,Sydney,2 Jan 2004,Test # 1680
60,108,89,5,0,67.41,4,not out,3,v Australia,Sydney,2 Jan 2004,Test # 1680
194,493,348,21,0,55.74,4,not out,1,v Pakistan,Multan,28 Mar 2004,Test # 1693
2,10,6,0,0,33.33,4,lbw,1,v Pakistan,Lahore,5 Apr 2004,Test # 1695
8,17,11,1,0,72.72,4,lbw,3,v Pakistan,Lahore,5 Apr 2004,Test # 1695
1,6,3,0,0,33.33,4,caught,2,v Pakistan,Rawalpindi,13 Apr 2004,Test # 1697
8,49,36,0,0,22.22,4,lbw,2,v Australia,Nagpur,26 Oct 2004,Test # 1718
2,18,14,0,0,14.28,4,caught,4,v Australia,Nagpur,26 Oct 2004,Test # 1718
5,43,35,0,0,14.28,4,caught,1,v Australia,Mumbai,3 Nov 2004,Test # 1720
55,120,83,6,1,66.26,4,caught,3,v Australia,Mumbai,3 Nov 2004,Test # 1720
3,21,18,0,0,16.66,4,bowled,2,v South Africa,Kanpur,20 Nov 2004,Test # 1722
20,82,54,3,0,37.03,4,bowled,2,v South Africa,Kolkata,28 Nov 2004,Test # 1724
32,73,64,3,1,50.00,4,not out,4,v South Africa,Kolkata,28 Nov 2004,Test # 1724
248,552,379,35,0,65.43,4,not out,2,v Bangladesh,Dhaka,10 Dec 2004,Test # 1725
36,79,55,6,0,65.45,4,lbw,1,v Bangladesh,Chittagong,17 Dec 2004,Test # 1727
94,301,202,11,0,46.53,4,caught,2,v Pakistan,Mohali,8 Mar 2005,Test # 1738
DNB,-,-,-,-,-,-,-,4,v Pakistan,Mohali,8 Mar 2005,Test # 1738
52,147,102,9,0,50.98,4,caught,1,v Pakistan,Kolkata,16 Mar 2005,Test # 1741
52,117,91,9,0,57.14,4,caught,3,v Pakistan,Kolkata,16 Mar 2005,Test # 1741
41,78,71,7,0,57.74,4,caught,2,v Pakistan,Bangalore,24 Mar 2005,Test # 1743
16,140,98,2,0,16.32,4,caught,4,v Pakistan,Bangalore,24 Mar 2005,Test # 1743
22,157,126,2,0,17.46,4,lbw,1,v Sri Lanka,Chennai,2 Dec 2005,Test # 1775
109,310,196,14,1,55.61,4,lbw,1,v Sri Lanka,Delhi,10 Dec 2005,Test # 1776
16,42,28,3,0,57.14,4,lbw,3,v Sri Lanka,Delhi,10 Dec 2005,Test # 1776
23,85,66,2,0,34.84,4,caught,1,v Sri Lanka,Ahmedabad,18 Dec 2005,Test # 1778
19,40,29,3,0,65.51,4,lbw,3,v Sri Lanka,Ahmedabad,18 Dec 2005,Test # 1778
DNB,-,-,-,-,-,-,-,2,v Pakistan,Lahore,13 Jan 2006,Test # 1781
14,64,33,3,0,42.42,4,caught,2,v Pakistan,Faisalabad,21 Jan 2006,Test # 1782
DNB,-,-,-,-,-,-,-,4,v Pakistan,Faisalabad,21 Jan 2006,Test # 1782
23,49,29,5,0,79.31,4,bowled,2,v Pakistan,Karachi,29 Jan 2006,Test # 1783
26,74,47,5,0,55.31,4,bowled,4,v Pakistan,Karachi,29 Jan 2006,Test # 1783
16,84,45,2,0,35.55,4,lbw,2,v England,Nagpur,1 Mar 2006,Test # 1785
28,38,19,5,0,147.36,6,not out,4,v England,Nagpur,1 Mar 2006,Test # 1785
4,20,15,0,0,26.66,4,caught,2,v England,Mohali,9 Mar 2006,Test # 1788
DNB,-,-,-,-,-,-,-,4,v England,Mohali,9 Mar 2006,Test # 1788
1,33,21,0,0,4.76,4,caught,2,v England,Mumbai,18 Mar 2006,Test # 1791
34,77,57,5,0,59.64,5,caught,4,v England,Mumbai,18 Mar 2006,Test # 1791
44,113,89,7,0,49.43,4,caught,1,v South Africa,Johannesburg,15 Dec 2006,Test # 1823
14,43,22,3,0,63.63,4,bowled,3,v South Africa,Johannesburg,15 Dec 2006,Test # 1823
63,173,115,11,0,54.78,4,caught,2,v South Africa,Durban,26 Dec 2006,Test # 1825
0,13,7,0,0,0.00,4,lbw,4,v South Africa,Durban,26 Dec 2006,Test # 1825
64,187,130,11,0,49.23,4,caught,1,v South Africa,Cape Town,2 Jan 2007,Test # 1827
14,88,62,1,0,22.58,5,lbw,3,v South Africa,Cape Town,2 Jan 2007,Test # 1827
101,274,169,9,0,59.76,4,caught,1,v Bangladesh,Chittagong,18 May 2007,Test # 1832
31,69,50,2,0,62.00,4,bowled,3,v Bangladesh,Chittagong,18 May 2007,Test # 1832
122,354,226,8,1,53.98,4,not out,1,v Bangladesh,Dhaka,25 May 2007,Test # 1833
37,104,78,6,0,47.43,4,lbw,2,v England,Lord's,19 Jul 2007,Test # 1840
16,42,35,3,0,45.71,4,lbw,4,v England,Lord's,19 Jul 2007,Test # 1840
91,259,197,12,0,46.19,4,lbw,2,v England,Nottingham,27 Jul 2007,Test # 1841
1,17,15,0,0,6.66,4,caught,4,v England,Nottingham,27 Jul 2007,Test # 1841
82,298,192,11,0,42.70,4,caught,1,v England,The Oval,9 Aug 2007,Test # 1842
1,13,11,0,0,9.09,4,bowled,3,v England,The Oval,9 Aug 2007,Test # 1842
1,2,1,0,0,100.00,4,run out,2,v Pakistan,Delhi,22 Nov 2007,Test # 1849
56,178,110,9,0,50.90,4,not out,4,v Pakistan,Delhi,22 Nov 2007,Test # 1849
82,146,109,12,0,75.22,4,bowled,1,v Pakistan,Kolkata,30 Nov 2007,Test # 1850
DNB,-,-,-,-,-,-,-,3,v Pakistan,Kolkata,30 Nov 2007,Test # 1850
62,113,77,7,1,80.51,4,bowled,2,v Australia,Melbourne,26 Dec 2007,Test # 1855
15,31,21,1,0,71.42,4,caught,4,v Australia,Melbourne,26 Dec 2007,Test # 1855
154,429,243,14,1,63.37,4,not out,2,v Australia,Sydney,2 Jan 2008,Test # 1857
12,33,16,3,0,75.00,4,bowled,4,v Australia,Sydney,2 Jan 2008,Test # 1857
71,175,128,9,0,55.46,4,lbw,1,v Australia,Perth,16 Jan 2008,Test # 1862
13,33,25,2,0,52.00,5,lbw,3,v Australia,Perth,16 Jan 2008,Test # 1862
153,342,205,13,3,74.63,4,caught,1,v Australia,Adelaide,24 Jan 2008,Test # 1863
13,67,36,1,0,36.11,4,run out,3,v Australia,Adelaide,24 Jan 2008,Test # 1863
0,9,5,0,0,0.00,4,caught,2,v South Africa,Chennai,26 Mar 2008,Test # 1870
27,60,46,3,0,58.69,4,bowled,2,v Sri Lanka,Colombo (SSC),23 Jul 2008,Test # 1882
12,42,30,1,0,40.00,4,caught,3,v Sri Lanka,Colombo (SSC),23 Jul 2008,Test # 1882
5,5,3,1,0,166.66,4,lbw,1,v Sri Lanka,Galle,31 Jul 2008,Test # 1884
31,54,42,5,0,73.80,4,caught,3,v Sri Lanka,Galle,31 Jul 2008,Test # 1884
6,18,12,0,0,50.00,4,lbw,1,v Sri Lanka,Colombo (PSS),8 Aug 2008,Test # 1886
14,26,22,1,0,63.63,6,lbw,3,v Sri Lanka,Colombo (PSS),8 Aug 2008,Test # 1886
13,26,18,3,0,72.22,4,caught,2,v Australia,Bangalore,9 Oct 2008,Test # 1887
49,177,126,4,0,38.88,4,caught,4,v Australia,Bangalore,9 Oct 2008,Test # 1887
88,186,111,10,0,79.27,4,caught,1,v Australia,Mohali,17 Oct 2008,Test # 1889
10,16,12,1,0,83.33,5,not out,3,v Australia,Mohali,17 Oct 2008,Test # 1889
68,188,126,11,0,53.96,4,caught,1,v Australia,Delhi,29 Oct 2008,Test # 1891
47,159,120,4,0,39.16,5,caught,3,v Australia,Delhi,29 Oct 2008,Test # 1891
109,274,188,12,0,57.97,4,lbw,1,v Australia,Nagpur,6 Nov 2008,Test # 1892
12,90,55,1,0,21.81,4,run out,3,v Australia,Nagpur,6 Nov 2008,Test # 1892
37,90,48,4,1,77.08,4,caught,2,v England,Chennai,11 Dec 2008,Test # 1898
103,317,196,9,0,52.55,4,not out,4,v England,Chennai,11 Dec 2008,Test # 1898
11,45,26,1,0,42.30,4,lbw,1,v England,Mohali,19 Dec 2008,Test # 1901
5,41,22,1,0,22.72,4,caught,3,v England,Mohali,19 Dec 2008,Test # 1901
160,397,260,26,0,61.53,4,caught,2,v New Zealand,Hamilton,18 Mar 2009,Test # 1915
DNB,-,-,-,-,-,-,-,4,v New Zealand,Hamilton,18 Mar 2009,Test # 1915
49,98,65,7,1,75.38,5,caught,2,v New Zealand,Napier,26 Mar 2009,Test # 1917
64,167,131,9,1,48.85,4,caught,3,v New Zealand,Napier,26 Mar 2009,Test # 1917
62,108,85,11,0,72.94,4,caught,1,v New Zealand,Wellington,3 Apr 2009,Test # 1918
9,25,20,0,1,45.00,4,caught,3,v New Zealand,Wellington,3 Apr 2009,Test # 1918
4,3,3,1,0,133.33,4,bowled,1,v Sri Lanka,Ahmedabad,16 Nov 2009,Test # 1933
100,298,211,11,0,47.39,5,not out,3,v Sri Lanka,Ahmedabad,16 Nov 2009,Test # 1933
40,122,91,0,1,43.95,4,caught,1,v Sri Lanka,Kanpur,24 Nov 2009,Test # 1935
53,139,103,6,0,51.45,4,bowled,2,v Sri Lanka,Mumbai (BS),2 Dec 2009,Test # 1937
105,246,166,11,2,63.25,4,not out,1,v Bangladesh,Chittagong,17 Jan 2010,Test # 1949
